Time,pH,Temp,Dev 0 Stat,Dev 1 Stat
2019-06-07 18:11:20.173751,7.23,err,Connected,Connection Failed
2019-06-07 18:11:21.189984,7.24,err,Connected,Connection Failed
2019-06-07 18:11:22.206965,7.15,err,Connected,Connection Failed
2019-06-07 18:11:23.223424,7.08,err,Connected,Connection Failed
2019-06-07 18:11:24.240156,7.1,err,Connected,Connection Failed
2019-06-07 18:18:54.178694,6.89,,Connected,trying...
2019-06-07 18:18:54.180067,6.87,,Connected,trying...
2019-06-07 18:18:54.180067,6.87,,Connected,trying...
2019-06-07 18:18:54.191083,6.87,,Connected,trying...
2019-06-07 18:18:54.191083,6.87,,Connected,trying...
2019-06-07 18:18:54.191083,6.87,,Connected,trying...
2019-06-07 18:18:54.191083,6.87,,Connected,trying...
2019-06-07 18:18:54.207713,6.87,,Connected,trying...
2019-06-07 18:18:54.207713,6.87,,Connected,trying...
2019-06-07 18:18:54.219213,6.87,,Connected,trying...
2019-06-07 18:18:54.225360,6.87,,Connected,trying...
2019-06-07 18:18:54.231516,6.87,,Connected,trying...
2019-06-07 18:18:54.238601,6.87,,Connected,trying...
2019-06-07 18:18:54.243684,6.87,,Connected,trying...
2019-06-07 18:18:54.247762,6.87,,Connected,trying...
2019-06-07 18:18:54.247762,6.87,,Connected,trying...
2019-06-07 18:18:54.247762,6.87,,Connected,trying...
2019-06-07 18:18:54.257819,6.87,,Connected,trying...
2019-06-07 18:18:54.262828,6.87,,Connected,trying...
2019-06-07 18:18:54.262828,6.87,,Connected,trying...
2019-06-07 18:18:54.262828,6.87,,Connected,trying...
2019-06-07 18:18:54.274334,6.87,,Connected,trying...
2019-06-07 18:18:54.274334,6.87,,Connected,trying...
2019-06-07 18:18:54.289961,6.87,,Connected,trying...
2019-06-07 18:18:54.290966,6.87,,Connected,trying...
2019-06-07 18:18:54.290966,6.87,,Connected,trying...
2019-06-07 18:18:54.290966,6.87,,Connected,trying...
2019-06-07 18:18:54.307628,6.87,,Connected,trying...
2019-06-07 18:18:54.307628,6.87,,Connected,trying...
2019-06-07 18:18:54.307628,6.87,,Connected,trying...
2019-06-07 18:18:54.307628,6.87,,Connected,trying...
2019-06-07 18:18:54.324259,6.87,,Connected,trying...
2019-06-07 18:18:54.324259,6.87,,Connected,trying...
2019-06-07 18:18:54.324259,6.87,,Connected,trying...
2019-06-07 18:18:54.324259,6.87,,Connected,trying...
2019-06-07 18:18:54.340890,6.87,,Connected,trying...
2019-06-07 18:18:54.340890,6.87,,Connected,trying...
2019-06-07 18:18:54.340890,6.87,,Connected,trying...
2019-06-07 18:18:54.340890,6.87,,Connected,trying...
2019-06-07 18:18:54.357525,6.87,,Connected,trying...
2019-06-07 18:18:54.363035,6.87,,Connected,trying...
2019-06-07 18:18:54.363035,6.87,,Connected,trying...
2019-06-07 18:18:54.363035,6.87,,Connected,trying...
2019-06-07 18:18:54.363035,6.87,,Connected,trying...
2019-06-07 18:18:54.374541,6.87,,Connected,trying...
2019-06-07 18:18:54.374541,6.87,,Connected,trying...
2019-06-07 18:18:54.374541,6.87,,Connected,trying...
2019-06-07 18:18:54.391173,6.87,,Connected,trying...
2019-06-07 18:18:54.391173,6.87,,Connected,trying...
2019-06-07 18:18:54.391173,6.87,,Connected,trying...
2019-06-07 18:18:54.407807,6.87,,Connected,trying...
2019-06-07 18:18:54.407807,6.87,,Connected,trying...
2019-06-07 18:18:54.407807,6.87,,Connected,trying...
2019-06-07 18:18:54.424439,6.87,,Connected,trying...
2019-06-07 18:18:54.424439,6.87,,Connected,trying...
2019-06-07 18:18:54.424439,6.87,,Connected,trying...
2019-06-07 18:18:54.441092,6.87,,Connected,trying...
2019-06-07 18:18:54.441092,6.87,,Connected,trying...
2019-06-07 18:18:54.441092,6.87,,Connected,trying...
2019-06-07 18:18:54.456717,6.87,,Connected,trying...
2019-06-07 18:18:54.463252,6.87,,Connected,trying...
2019-06-07 18:18:54.463252,6.87,,Connected,trying...
2019-06-07 18:18:54.463252,6.87,,Connected,trying...
2019-06-07 18:18:54.474257,6.87,,Connected,trying...
2019-06-07 18:18:54.474257,6.87,,Connected,trying...
2019-06-07 18:18:54.474257,6.87,,Connected,trying...
2019-06-07 18:18:54.489882,6.87,,Connected,trying...
2019-06-07 18:18:54.490890,6.87,,Connected,trying...
2019-06-07 18:18:54.490890,6.87,,Connected,trying...
2019-06-07 18:18:54.490890,6.87,,Connected,trying...
2019-06-07 18:18:54.506517,6.87,,Connected,trying...
2019-06-07 18:18:54.507523,6.87,,Connected,trying...
2019-06-07 18:18:54.507523,6.87,,Connected,trying...
2019-06-07 18:18:54.507523,6.87,,Connected,trying...
2019-06-07 18:18:54.523148,6.87,,Connected,trying...
2019-06-07 18:18:54.524155,6.87,,Connected,trying...
2019-06-07 18:18:54.524155,6.87,,Connected,trying...
2019-06-07 18:18:54.524155,6.87,,Connected,trying...
2019-06-07 18:18:54.524155,6.87,,Connected,trying...
2019-06-07 18:18:54.540785,6.87,,Connected,trying...
2019-06-07 18:18:54.540785,6.87,,Connected,trying...
2019-06-07 18:18:54.540785,6.87,,Connected,trying...
2019-06-07 18:18:54.540785,6.87,,Connected,trying...
2019-06-07 18:18:54.557921,6.87,,Connected,trying...
2019-06-07 18:18:54.563432,6.87,,Connected,trying...
2019-06-07 18:18:54.563432,6.87,,Connected,trying...
2019-06-07 18:18:54.563432,6.87,,Connected,trying...
2019-06-07 18:18:54.574437,6.87,,Connected,trying...
2019-06-07 18:18:54.574437,6.87,,Connected,trying...
2019-06-07 18:18:54.574437,6.87,,Connected,trying...
2019-06-07 18:18:54.574437,6.87,,Connected,trying...
2019-06-07 18:18:54.590062,6.87,,Connected,trying...
2019-06-07 18:18:54.591067,6.87,,Connected,trying...
2019-06-07 18:18:54.591067,6.87,,Connected,trying...
2019-06-07 18:18:54.591067,6.87,,Connected,trying...
2019-06-07 18:18:54.606692,6.87,,Connected,trying...
2019-06-07 18:18:54.607698,6.87,,Connected,trying...
2019-06-07 18:18:54.607698,6.87,,Connected,trying...
2019-06-07 18:18:54.607698,6.87,,Connected,trying...
2019-06-07 18:18:54.624329,6.87,,Connected,trying...
2019-06-07 18:18:54.624329,6.87,,Connected,trying...
2019-06-07 18:18:54.624329,6.87,,Connected,trying...
2019-06-07 18:18:54.624329,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.640959,6.87,,Connected,trying...
2019-06-07 18:18:54.657608,6.87,,Connected,trying...
2019-06-07 18:18:54.657608,6.87,,Connected,trying...
2019-06-07 18:18:54.663632,6.87,,Connected,trying...
2019-06-07 18:18:54.663632,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.674137,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.690769,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.707901,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.724539,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.741170,6.87,,Connected,trying...
2019-06-07 18:18:54.757805,6.87,,Connected,trying...
2019-06-07 18:18:54.757805,6.87,,Connected,trying...
2019-06-07 18:18:54.763817,6.87,,Connected,trying...
2019-06-07 18:18:54.763817,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.774321,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.790952,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.807597,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.824229,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.840861,6.87,,Connected,trying...
2019-06-07 18:18:54.856502,6.87,,Connected,trying...
2019-06-07 18:18:54.857515,6.87,,Connected,trying...
2019-06-07 18:18:54.864024,6.87,,Connected,trying...
2019-06-07 18:18:54.864024,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.874528,6.87,,Connected,trying...
2019-06-07 18:18:54.890154,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.891160,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.907793,6.87,,Connected,trying...
2019-06-07 18:18:54.924425,6.87,,Connected,trying...
2019-06-07 18:18:54.924425,6.87,,Connected,trying...
2019-06-07 18:18:54.941883,6.87,,Connected,trying...
2019-06-07 18:18:54.944330,6.87,,Connected,trying...
2019-06-07 18:18:54.944330,6.87,,Connected,trying...
2019-06-07 18:18:54.957841,6.87,,Connected,trying...
2019-06-07 18:18:54.963876,6.87,,Connected,trying...
2019-06-07 18:18:54.963876,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.974380,6.87,,Connected,trying...
2019-06-07 18:18:54.990005,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:54.991011,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.007652,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.024283,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.040915,6.87,,Connected,trying...
2019-06-07 18:18:55.057551,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.064058,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.074563,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.091193,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.107823,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.124454,6.87,,Connected,trying...
2019-06-07 18:18:55.140079,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.141085,6.87,,Connected,trying...
2019-06-07 18:18:55.157720,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.164227,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.174235,6.87,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.190867,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.207497,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.224142,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.240773,6.79,,Connected,trying...
2019-06-07 18:18:55.257911,6.79,,Connected,trying...
2019-06-07 18:18:55.257911,6.79,,Connected,trying...
2019-06-07 18:18:55.264420,6.79,,Connected,trying...
2019-06-07 18:18:55.264420,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.274428,6.79,,Connected,trying...
2019-06-07 18:18:55.290054,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
2019-06-07 18:18:55.291061,6.79,,Connected,trying...
